BOWS, BOWto bend or incline downwards [v]
BOXY, like a box [adj BOXIERBOXIEST
BOYF, boyfriend [n -S]
BOYG, (Norwegian) a problem difficult to get to grips with [n -S]
BOYO, a young man [n -S]
BOYS, BOYto act a female role as a boy [v]
BOZO, (US slang) a mana fellow [n -S]
BRAD, to fasten with thin nails [v BRADDEDBRADDING
BRAE, (Scots) a steep bank beside a river valley [n -S]
BRAG, to boast [v BRAGGEDBRAGGING
BRAK, (South African) a mongrel dog [n -S]
BRAN, to soak in water mixed with the outer coat of cereals [v BRANNEDBRANNING
BRAP, an exclamation used to imitate the sound of a burst of gunfire from an automatic weapon [interj]
BRAS, (Spenser) brass [n -ES]
BRAT, a badly behaved child [n -S]
BRAW, (Scots) finebrave [adj BRAWER
BRAY, to cry like an ass [v -ED-ING
BRED, someone living in a remote part of Australia [n -S]
BREE, (Scots) the liquor in which anything has been boiledalso BRIE [n -S]
BREI, (South African) to pronounce r sound at the back of the throatalso BREY [v BREID
BREN, (archaic) to burnalso BRENNE [v BRENT
BRER, (US dialect) brother [n -S]
BREW, to make beer [v -ED-ING
BREY, (South African) to pronounce r sound at the back of the throatalso BREI [v -ED
BRIE, (Scots) the liquor in which anything has been boiledalso BREE [n -S]
BRIG, a two-mastedsquare-rigged vessel [n -S]
BRIK, (Arabic) a Tunisian deep fried spicy pastry filled with fish or meat and sometimes an egg [n -S]
BRIM, to fill to the top [v BRIMMEDBRIMMING
BRIN, the rib of a fan [n -S]
BRIO, (Italian) livelinessenthusiastic vigour
BRIS, (Hebrew) a Jewish circumcision ritealso BRISS
BRIT, a young herringalso BRITT [n -S]
BROD, (dialect) to prod [v BRODDEDBRODDING
BROG, (Scots) to prick with an awl [v BROGGEDBROGGING
BROO, (Scots) unemployment benefit; the office at which people receive italso BUROO [n -S]
BROS, BRObuddy
BROW, the eyebrow; the ridge over the eyes [n -S]
BRRR, used to indicate that one is coldalso BRR [interj]
BRUS, BRU(South African) buddy
BRUT, (French) a very dry champagne [n -S]
BRUX, to grind teeth together [v -ED-ING
BUAT, (Scots) a lanternalso BOWAT
BUBA, a contagious skin disease resembling syphilisaka yaws
BUBO, (Latin) an inflammatory swelling of the lymph nodes [n -ES]
BUBS, BUBa young fellow [n]
BUBU, a long flowing garment worn in Malialso BOUBOU [n -S]
BUCK, to leap forward and upward suddenly [v -ED-ING
BUDA, (offensive Hinglish) an insulting term for an old man [n -S]
BUDI, (Hindi) an insulting term for an old woman [n -S]
BUDO, (Japanese) the system or philosophy of the martial arts [n -S]
BUDS, BUDto produce unopened flowers [v]
BUFF, to polish [v -ED-ING
