JIG,  to dance a jig; to jump up and down [v JIGGEDJIGGING
JIN,  (Arabic) a supernatural being in Muslim mythologyalso DJIN
JIZ,  a wigalso GIZZ [n JIZZES]
JOB,  to do piece work [v JOBBEDJOBBING
JOE,  (Scots) a loved onealso JO [n -S]
JOG,  to run at a slowsteady pace [v JOGGED
JOL,  (South African slang) to have a good time [v JOLLEDJOLLING
JOR,  in Indian musicthe second movement of a raga [n -S]
JOT,  to note quickly [v JOTTEDJOTTING
JOW,  to ringtoll a bell [v -ED
JOY,  to rejoice [v -ED-ING
JUD,  a mass of coal ready for removal [n -S]
JUG,  to stew in a closed container [v JUGGEDJUGGING
JUN,  a North Korean coin [n JUN]
JUS,  (Latin) a law or legal right [n JURA]
JUT,  to projectstick out [v JUTTED
KAB,  an ancient Hebrew unit of measure [n -S]
KAE,  (Scots) to servealso KA [v KAED
KAF,  (Hebrew) the eleventh letter of the Hebrew alphabetalso CAPH
KAI,  (Maori) in New Zealanda meal
KAK,  (vulgar South African) faecesrubbish
KAM,  (Shakespeare) crookedawry
KAS,  KAto serve
KAT,  (Arabic) a shrub of East AfricaArabia
KAW,  to cry like a crowalso CAW [v -ED
KAY,  the letter K [n -S]
KEA,  a large New Zealand parrot [n -S]
KEB,  to give birth to a premature lamb [v KEBBEDKEBBING
KED,  a wingless fly that infests sheepalso KADE [n -S]
